year,cause,gender,age,people
1999,A009,1,0,0
1999,A009,1,1,0
1999,A009,1,2,0
1999,A009,1,3,0
1999,A009,1,4,0
1999,A009,1,5-9,0
1999,A009,1,10-14,0
1999,A009,1,15-19,0
1999,A009,1,20-24,0
1999,A009,1,25-29,0
1999,A009,1,30-34,0
1999,A009,1,35-39,0
1999,A009,1,40-44,0
1999,A009,1,45-49,0
1999,A009,1,50-54,0
1999,A009,1,55-59,0
1999,A009,1,60-64,0
1999,A009,1,65-69,1
1999,A009,1,70-74,0
1999,A009,1,75-79,0
1999,A009,1,80-84,0
1999,A009,1,85-89,0
1999,A009,1,90-94,0
1999,A009,1,95+,0
1999,A009,1,Unspecified,0
2000,A009,1,0,0
2000,A009,1,1,0
2000,A009,1,2,0
2000,A009,1,3,0
2000,A009,1,4,0
2000,A009,1,5-9,0
2000,A009,1,10-14,0
2000,A009,1,15-19,0
2000,A009,1,20-24,0
2000,A009,1,25-29,0
2000,A009,1,30-34,0
2000,A009,1,35-39,0
2000,A009,1,40-44,0
2000,A009,1,45-49,0
2000,A009,1,50-54,0
2000,A009,1,55-59,0
2000,A009,1,60-64,0
2000,A009,1,65-69,0
2000,A009,1,70-74,0
2000,A009,1,75-79,1
2000,A009,1,80-84,0
2000,A009,1,85-89,0
2000,A009,1,90-94,0
2000,A009,1,95+,0
2000,A009,1,Unspecified,0
2007,A009,2,0,0
2007,A009,2,1,0
2007,A009,2,2,0
2007,A009,2,3,0
2007,A009,2,4,0
2007,A009,2,5-9,0
2007,A009,2,10-14,0
2007,A009,2,15-19,0
2007,A009,2,20-24,0
2007,A009,2,25-29,0
2007,A009,2,30-34,0
2007,A009,2,35-39,0
2007,A009,2,40-44,0
2007,A009,2,45-49,0
2007,A009,2,50-54,1
2007,A009,2,55-59,0
2007,A009,2,60-64,0
2007,A009,2,65-69,0
2007,A009,2,70-74,0
2007,A009,2,75-79,0
2007,A009,2,80-84,0
2007,A009,2,85-89,0
2007,A009,2,90-94,0
2007,A009,2,95+,0
2007,A009,2,Unspecified,0
2001,A010,2,0,0
2001,A010,2,1,0
2001,A010,2,2,0
2001,A010,2,3,0
2001,A010,2,4,0
2001,A010,2,5-9,0
2001,A010,2,10-14,0
2001,A010,2,15-19,0
2001,A010,2,20-24,0
2001,A010,2,25-29,0
2001,A010,2,30-34,0
2001,A010,2,35-39,0
2001,A010,2,40-44,0
2001,A010,2,45-49,0
2001,A010,2,50-54,0
2001,A010,2,55-59,0
2001,A010,2,60-64,0
2001,A010,2,65-69,0
2001,A010,2,70-74,0
2001,A010,2,75-79,0
2001,A010,2,80-84,0
2001,A010,2,85-89,0
2001,A010,2,90-94,1
2001,A010,2,95+,0
2001,A010,2,Unspecified,0
1999,A020,1,0,0
1999,A020,1,1,0
1999,A020,1,2,0
1999,A020,1,3,0
1999,A020,1,4,0
1999,A020,1,5-9,0
1999,A020,1,10-14,0
1999,A020,1,15-19,0
1999,A020,1,20-24,1
1999,A020,1,25-29,0
1999,A020,1,30-34,0
1999,A020,1,35-39,0
1999,A020,1,40-44,0
1999,A020,1,45-49,0
1999,A020,1,50-54,0
1999,A020,1,55-59,0
1999,A020,1,60-64,1
1999,A020,1,65-69,0
1999,A020,1,70-74,0
1999,A020,1,75-79,1
1999,A020,1,80-84,2
1999,A020,1,85-89,0
1999,A020,1,90-94,1
1999,A020,1,95+,0
1999,A020,1,Unspecified,0
1999,A020,2,0,0
1999,A020,2,1,0
1999,A020,2,2,0
1999,A020,2,3,0
1999,A020,2,4,0
1999,A020,2,5-9,0
1999,A020,2,10-14,0
1999,A020,2,15-19,0
1999,A020,2,20-24,0
1999,A020,2,25-29,0
1999,A020,2,30-34,0
1999,A020,2,35-39,0
1999,A020,2,40-44,1
1999,A020,2,45-49,0
1999,A020,2,50-54,0
1999,A020,2,55-59,1
1999,A020,2,60-64,0
1999,A020,2,65-69,0
1999,A020,2,70-74,0
1999,A020,2,75-79,2
1999,A020,2,80-84,1
1999,A020,2,85-89,1
1999,A020,2,90-94,0
1999,A020,2,95+,1
1999,A020,2,Unspecified,0
2000,A020,1,0,2
2000,A020,1,1,0
2000,A020,1,2,0
2000,A020,1,3,0
2000,A020,1,4,0
2000,A020,1,5-9,0
2000,A020,1,10-14,0
2000,A020,1,15-19,0
2000,A020,1,20-24,0
2000,A020,1,25-29,0
2000,A020,1,30-34,1
2000,A020,1,35-39,0
2000,A020,1,40-44,0
2000,A020,1,45-49,0
2000,A020,1,50-54,0
2000,A020,1,55-59,1
2000,A020,1,60-64,0
2000,A020,1,65-69,0
2000,A020,1,70-74,2
2000,A020,1,75-79,0
2000,A020,1,80-84,0
2000,A020,1,85-89,0
2000,A020,1,90-94,1
2000,A020,1,95+,0
2000,A020,1,Unspecified,0
2000,A020,2,0,1
2000,A020,2,1,0
2000,A020,2,2,0
2000,A020,2,3,0
2000,A020,2,4,0
2000,A020,2,5-9,0
2000,A020,2,10-14,0
2000,A020,2,15-19,0
2000,A020,2,20-24,0
2000,A020,2,25-29,0
2000,A020,2,30-34,0
2000,A020,2,35-39,0
2000,A020,2,40-44,0
2000,A020,2,45-49,0
2000,A020,2,50-54,0
2000,A020,2,55-59,0
2000,A020,2,60-64,0
2000,A020,2,65-69,0
2000,A020,2,70-74,0
2000,A020,2,75-79,1
2000,A020,2,80-84,1
2000,A020,2,85-89,1
2000,A020,2,90-94,0
2000,A020,2,95+,0
2000,A020,2,Unspecified,0
2001,A020,1,0,0
2001,A020,1,1,0
2001,A020,1,2,0
2001,A020,1,3,0
2001,A020,1,4,0
2001,A020,1,5-9,0
2001,A020,1,10-14,0
2001,A020,1,15-19,0
2001,A020,1,20-24,0
2001,A020,1,25-29,0
2001,A020,1,30-34,1
2001,A020,1,35-39,0
2001,A020,1,40-44,0
2001,A020,1,45-49,0
2001,A020,1,50-54,0
2001,A020,1,55-59,1
2001,A020,1,60-64,0
2001,A020,1,65-69,0
2001,A020,1,70-74,0
2001,A020,1,75-79,0
2001,A020,1,80-84,1
2001,A020,1,85-89,1
2001,A020,1,90-94,0
2001,A020,1,95+,0
2001,A020,1,Unspecified,0
2001,A020,2,0,0
2001,A020,2,1,0
2001,A020,2,2,0
2001,A020,2,3,0
2001,A020,2,4,0
2001,A020,2,5-9,0
2001,A020,2,10-14,0
2001,A020,2,15-19,0
2001,A020,2,20-24,0
2001,A020,2,25-29,0
2001,A020,2,30-34,1
2001,A020,2,35-39,0
2001,A020,2,40-44,0
2001,A020,2,45-49,0
2001,A020,2,50-54,0
2001,A020,2,55-59,0
2001,A020,2,60-64,0
2001,A020,2,65-69,0
