year,cause,gender,age,people
1999,A00,1,65 to 69,1
1999,A02,1,0 to 4,3
1999,A02,1,20 to 24,1
1999,A02,1,40 to 44,1
1999,A02,1,50 to 54,1
1999,A02,1,60 to 64,2
1999,A02,1,65 to 69,2
1999,A02,1,70 to 74,3
1999,A02,1,75 to 79,2
1999,A02,1,80 to 84,3
1999,A02,1,85 to 89,1
1999,A02,1,90 to 94,1
1999,A02,2,0 to 4,1
1999,A02,2,55 to 59,1
1999,A02,2,70 to 74,2
1999,A02,2,75 to 79,6
1999,A02,2,80 to 84,1
1999,A02,2,85 to 89,3
1999,A02,2,90 to 94,1
1999,A02,2,95+,1
2000,A02,1,0 to 4,3
2000,A02,1,30 to 34,1
2000,A02,1,45 to 49,1
2000,A02,1,50 to 54,1
2000,A02,1,55 to 59,2
2000,A02,1,65 to 69,1
2000,A02,1,70 to 74,4
2000,A02,1,75 to 79,1
2000,A02,1,90 to 94,1
2000,A02,2,0 to 4,3
2000,A02,2,50 to 54,2
2000,A02,2,70 to 74,2
2000,A02,2,75 to 79,2
2000,A02,2,80 to 84,2
2000,A02,2,85 to 89,1
2000,A02,2,90 to 94,1
2001,A02,1,0 to 4,3
2001,A02,1,50 to 54,2
2001,A02,1,55 to 59,2
2001,A02,1,65 to 69,3
2001,A02,1,70 to 74,3
2001,A02,1,75 to 79,3
2001,A02,1,80 to 84,4
2001,A02,1,85 to 89,1
2001,A02,2,0 to 4,4
2001,A02,2,60 to 64,1
2001,A02,2,65 to 69,1
2001,A02,2,75 to 79,2
2001,A02,2,80 to 84,3
2001,A02,2,85 to 89,5
2001,A02,2,90 to 94,2
2002,A02,1,0 to 4,3
2002,A02,1,50 to 54,1
2002,A02,1,70 to 74,1
2002,A02,1,75 to 79,1
2002,A02,1,80 to 84,2
2002,A02,1,85 to 89,1
2002,A02,2,0 to 4,3
2002,A02,2,40 to 44,2
2002,A02,2,50 to 54,1
2002,A02,2,65 to 69,2
2002,A02,2,75 to 79,2
2002,A02,2,80 to 84,1
2003,A02,1,0 to 4,3
2003,A02,1,40 to 44,2
2003,A02,1,45 to 49,1
2003,A02,1,55 to 59,3
2003,A02,1,60 to 64,1
2003,A02,1,65 to 69,2
2003,A02,1,70 to 74,1
2003,A02,1,75 to 79,4
2003,A02,1,85 to 89,4
2003,A02,1,90 to 94,1
2003,A02,1,95+,1
2003,A02,2,0 to 4,5
2003,A02,2,25 to 29,1
2003,A02,2,40 to 44,1
2003,A02,2,55 to 59,1
2003,A02,2,60 to 64,1
2003,A02,2,70 to 74,3
2003,A02,2,75 to 79,4
