year,cause,gender,age,people
1999,"Accidental drowning and submersion",1,0,39
1999,"Accidental drowning and submersion",1,1,130
1999,"Accidental drowning and submersion",1,10-14,136
1999,"Accidental drowning and submersion",1,15-19,330
1999,"Accidental drowning and submersion",1,2,104
1999,"Accidental drowning and submersion",1,20-24,262
1999,"Accidental drowning and submersion",1,25-29,193
1999,"Accidental drowning and submersion",1,3,49
1999,"Accidental drowning and submersion",1,30-34,204
1999,"Accidental drowning and submersion",1,35-39,215
1999,"Accidental drowning and submersion",1,4,27
1999,"Accidental drowning and submersion",1,40-44,187
1999,"Accidental drowning and submersion",1,45-49,166
1999,"Accidental drowning and submersion",1,5-9,139
1999,"Accidental drowning and submersion",1,50-54,145
1999,"Accidental drowning and submersion",1,55-59,95
1999,"Accidental drowning and submersion",1,60-64,75
1999,"Accidental drowning and submersion",1,65-69,64
1999,"Accidental drowning and submersion",1,70-74,65
1999,"Accidental drowning and submersion",1,75-79,63
1999,"Accidental drowning and submersion",1,80-84,48
1999,"Accidental drowning and submersion",1,85-89,19
1999,"Accidental drowning and submersion",1,90-94,6
1999,"Accidental drowning and submersion",1,95+,3
1999,"Accidental drowning and submersion",1,Unspecified,30
1999,"Accidental drowning and submersion",2,0,29
1999,"Accidental drowning and submersion",2,1,85
1999,"Accidental drowning and submersion",2,10-14,41
1999,"Accidental drowning and submersion",2,15-19,29
1999,"Accidental drowning and submersion",2,2,48
1999,"Accidental drowning and submersion",2,20-24,26
1999,"Accidental drowning and submersion",2,25-29,19
1999,"Accidental drowning and submersion",2,3,24
1999,"Accidental drowning and submersion",2,30-34,30
1999,"Accidental drowning and submersion",2,35-39,35
1999,"Accidental drowning and submersion",2,4,23
1999,"Accidental drowning and submersion",2,40-44,38
1999,"Accidental drowning and submersion",2,45-49,32
1999,"Accidental drowning and submersion",2,5-9,53
1999,"Accidental drowning and submersion",2,50-54,27
1999,"Accidental drowning and submersion",2,55-59,27
1999,"Accidental drowning and submersion",2,60-64,22
1999,"Accidental drowning and submersion",2,65-69,20
1999,"Accidental drowning and submersion",2,70-74,36
1999,"Accidental drowning and submersion",2,75-79,25
1999,"Accidental drowning and submersion",2,80-84,22
1999,"Accidental drowning and submersion",2,85-89,26
1999,"Accidental drowning and submersion",2,90-94,10
1999,"Accidental drowning and submersion",2,95+,4
1999,"Accidental drowning and submersion",2,Unspecified,4
1999,"Accidental poisoning by and exposure to noxious substances",1,0,11
1999,"Accidental poisoning by and exposure to noxious substances",1,1,7
1999,"Accidental poisoning by and exposure to noxious substances",1,10-14,19
1999,"Accidental poisoning by and exposure to noxious substances",1,15-19,195
1999,"Accidental poisoning by and exposure to noxious substances",1,2,4
1999,"Accidental poisoning by and exposure to noxious substances",1,20-24,559
1999,"Accidental poisoning by and exposure to noxious substances",1,25-29,757
1999,"Accidental poisoning by and exposure to noxious substances",1,3,4
1999,"Accidental poisoning by and exposure to noxious substances",1,30-34,1071
1999,"Accidental poisoning by and exposure to noxious substances",1,35-39,1523
1999,"Accidental poisoning by and exposure to noxious substances",1,4,2
1999,"Accidental poisoning by and exposure to noxious substances",1,40-44,1826
1999,"Accidental poisoning by and exposure to noxious substances",1,45-49,1456
1999,"Accidental poisoning by and exposure to noxious substances",1,5-9,6
1999,"Accidental poisoning by and exposure to noxious substances",1,50-54,650
1999,"Accidental poisoning by and exposure to noxious substances",1,55-59,298
1999,"Accidental poisoning by and exposure to noxious substances",1,60-64,150
1999,"Accidental poisoning by and exposure to noxious substances",1,65-69,98
1999,"Accidental poisoning by and exposure to noxious substances",1,70-74,74
1999,"Accidental poisoning by and exposure to noxious substances",1,75-79,63
1999,"Accidental poisoning by and exposure to noxious substances",1,80-84,53
1999,"Accidental poisoning by and exposure to noxious substances",1,85-89,38
1999,"Accidental poisoning by and exposure to noxious substances",1,90-94,10
1999,"Accidental poisoning by and exposure to noxious substances",1,95+,5
1999,"Accidental poisoning by and exposure to noxious substances",1,Unspecified,8
1999,"Accidental poisoning by and exposure to noxious substances",2,0,1
1999,"Accidental poisoning by and exposure to noxious substances",2,1,7
1999,"Accidental poisoning by and exposure to noxious substances",2,10-14,9
1999,"Accidental poisoning by and exposure to noxious substances",2,15-19,65
1999,"Accidental poisoning by and exposure to noxious substances",2,2,4
1999,"Accidental poisoning by and exposure to noxious substances",2,20-24,145
1999,"Accidental poisoning by and exposure to noxious substances",2,25-29,195
1999,"Accidental poisoning by and exposure to noxious substances",2,3,2
1999,"Accidental poisoning by and exposure to noxious substances",2,30-34,332
1999,"Accidental poisoning by and exposure to noxious substances",2,35-39,559
1999,"Accidental poisoning by and exposure to noxious substances",2,4,4
1999,"Accidental poisoning by and exposure to noxious substances",2,40-44,641
1999,"Accidental poisoning by and exposure to noxious substances",2,45-49,470
1999,"Accidental poisoning by and exposure to noxious substances",2,5-9,6
1999,"Accidental poisoning by and exposure to noxious substances",2,50-54,268
