year,cause,gender,age,people
1999,C18,1,0 to 4,9
1999,C18,1,15 to 19,4
1999,C18,1,20 to 24,16
1999,C18,1,25 to 29,33
1999,C18,1,30 to 34,77
1999,C18,1,35 to 39,169
1999,C18,1,40 to 44,343
1999,C18,1,45 to 49,675
1999,C18,1,50 to 54,1092
1999,C18,1,55 to 59,1525
1999,C18,1,60 to 64,2197
1999,C18,1,65 to 69,2831
1999,C18,1,70 to 74,3739
1999,C18,1,75 to 79,4139
1999,C18,1,80 to 84,3374
1999,C18,1,85 to 89,2192
1999,C18,1,90 to 94,964
1999,C18,1,95+,212
1999,C18,2,0 to 4,10
1999,C18,2,15 to 19,4
1999,C18,2,20 to 24,12
1999,C18,2,25 to 29,26
1999,C18,2,30 to 34,75
1999,C18,2,35 to 39,160
1999,C18,2,40 to 44,341
1999,C18,2,45 to 49,590
1999,C18,2,50 to 54,876
1999,C18,2,55 to 59,1136
1999,C18,2,60 to 64,1646
1999,C18,2,65 to 69,2252
1999,C18,2,70 to 74,3160
1999,C18,2,75 to 79,3989
1999,C18,2,80 to 84,4028
1999,C18,2,85 to 89,3665
1999,C18,2,90 to 94,2116
1999,C18,2,95+,743
2000,C18,1,0 to 4,9
2000,C18,1,15 to 19,7
2000,C18,1,20 to 24,12
2000,C18,1,25 to 29,23
2000,C18,1,30 to 34,91
2000,C18,1,35 to 39,195
2000,C18,1,40 to 44,380
2000,C18,1,45 to 49,665
2000,C18,1,50 to 54,1169
2000,C18,1,55 to 59,1559
2000,C18,1,60 to 64,2098
2000,C18,1,65 to 69,2759
2000,C18,1,70 to 74,3769
2000,C18,1,75 to 79,4117
2000,C18,1,80 to 84,3395
2000,C18,1,85 to 89,2244
2000,C18,1,90 to 94,886
2000,C18,1,95+,254
2000,C18,2,0 to 4,10
2000,C18,2,15 to 19,1
2000,C18,2,20 to 24,7
2000,C18,2,25 to 29,28
2000,C18,2,30 to 34,63
2000,C18,2,35 to 39,159
2000,C18,2,40 to 44,319
2000,C18,2,45 to 49,602
2000,C18,2,50 to 54,911
2000,C18,2,55 to 59,1154
2000,C18,2,60 to 64,1618
2000,C18,2,65 to 69,2142
2000,C18,2,70 to 74,3157
2000,C18,2,75 to 79,3915
2000,C18,2,80 to 84,4204
2000,C18,2,85 to 89,3669
2000,C18,2,90 to 94,2180
2000,C18,2,95+,796
2001,C18,1,0 to 4,10
2001,C18,1,20 to 24,12
2001,C18,1,25 to 29,25
2001,C18,1,30 to 34,93
2001,C18,1,35 to 39,208
2001,C18,1,40 to 44,361
2001,C18,1,45 to 49,730
2001,C18,1,50 to 54,1166
2001,C18,1,55 to 59,1680
2001,C18,1,60 to 64,2035
2001,C18,1,65 to 69,2842
2001,C18,1,70 to 74,3599
2001,C18,1,75 to 79,3862
2001,C18,1,80 to 84,3338
2001,C18,1,85 to 89,2183
2001,C18,1,90 to 94,914
2001,C18,1,95+,238
2001,C18,2,0 to 4,9
2001,C18,2,20 to 24,15
2001,C18,2,25 to 29,31
2001,C18,2,30 to 34,76
2001,C18,2,35 to 39,168
2001,C18,2,40 to 44,346
2001,C18,2,45 to 49,600
2001,C18,2,50 to 54,1002
2001,C18,2,55 to 59,1221
2001,C18,2,60 to 64,1567
2001,C18,2,65 to 69,2150
2001,C18,2,70 to 74,3038
2001,C18,2,75 to 79,3853
2001,C18,2,80 to 84,4050
2001,C18,2,85 to 89,3573
2001,C18,2,90 to 94,2111
2001,C18,2,95+,740
2002,C18,1,0 to 4,9
2002,C18,1,15 to 19,4
2002,C18,1,20 to 24,25
2002,C18,1,25 to 29,29
2002,C18,1,30 to 34,79
2002,C18,1,35 to 39,166
2002,C18,1,40 to 44,419
2002,C18,1,45 to 49,707
2002,C18,1,50 to 54,1242
