Year,Cause,Sex,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26,IM_Deaths1,IM_Deaths2,IM_Deaths3,IM_Deaths4
1979,140,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,3,7,14,20,21,14,20,,,0,0,0,0,0
1979,140,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2,3,3,7,,,0,0,0,0,0
1979,141,1,0,0,0,0,0,0,0,0,5,6,4,13,36,69,134,202,232,234,191,114,73,54,,,0,0,0,0,0
1979,141,2,0,0,0,0,0,0,0,0,0,1,3,5,14,24,47,89,82,88,77,62,65,62,,,0,0,0,0,0
1979,1410,1,0,0,0,0,0,0,0,0,1,0,0,2,3,9,16,26,32,28,19,12,6,5,,,0,0,0,0,0
1979,1410,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,10,8,7,14,4,5,2,,,0,0,0,0,0
1979,142,1,0,0,0,0,0,0,0,0,0,1,2,3,3,14,22,36,49,49,52,47,28,39,,,0,0,0,0,0
1979,142,2,0,0,0,0,0,1,0,0,0,0,3,5,3,5,24,16,31,29,24,31,35,35,,,0,0,0,0,0
1979,143,1,0,0,0,0,0,0,0,0,1,0,1,1,2,3,6,7,14,15,12,12,9,12,,,0,0,0,0,0
1979,143,2,0,0,0,0,0,1,0,0,1,0,0,0,0,2,4,6,12,16,6,14,7,18,,,0,0,0,0,0
1979,144,1,0,0,0,0,0,0,0,0,0,0,0,3,11,14,59,52,58,59,39,37,11,6,,,0,0,0,0,0
1979,144,2,0,0,0,0,0,0,0,0,0,0,2,0,4,6,17,17,22,20,14,22,9,5,,,0,0,0,0,0
1979,145,1,0,0,0,0,0,0,0,0,0,2,3,9,21,38,81,102,112,117,101,65,59,51,,,1,0,0,0,0
1979,145,2,0,0,0,0,0,0,1,0,0,0,1,1,13,11,31,54,66,80,68,62,57,81,,,0,0,0,0,0
1979,146,1,0,0,0,1,0,0,0,0,0,2,1,10,23,46,109,125,147,116,93,50,40,19,,,0,0,0,0,0
1979,146,2,0,0,0,0,0,0,0,0,0,0,1,5,9,12,38,47,62,48,40,31,17,12,,,0,0,0,0,0
1979,1460,1,0,0,0,0,0,0,0,0,0,1,0,4,16,25,64,68,80,66,57,26,26,11,,,0,0,0,0,0
1979,1460,2,0,0,0,0,0,0,0,0,0,0,1,3,4,5,26,24,39,29,14,17,8,8,,,0,0,0,0,0
1979,147,1,0,0,1,0,0,2,2,7,6,7,10,17,19,43,52,67,76,67,53,36,16,7,,,1,0,0,0,0
1979,147,2,0,0,0,0,0,2,1,3,4,2,4,5,10,16,24,25,34,20,24,22,12,7,,,0,0,0,0,0
1979,148,1,0,0,0,0,0,0,0,0,0,1,0,6,8,21,72,78,100,93,89,59,22,13,,,0,0,0,0,0
1979,148,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,12,18,31,26,24,13,5,5,,,0,0,0,0,0
1979,149,1,0,0,0,0,0,0,0,0,0,1,1,5,9,52,92,154,174,196,159,80,48,41,,,1,0,0,0,0
1979,149,2,0,0,0,0,0,0,0,0,0,1,0,0,8,20,38,55,76,72,44,42,20,26,,,0,0,0,0,0
1979,1533,1,0,0,0,0,0,0,0,0,0,4,2,5,14,26,66,107,154,218,256,253,177,162,,,0,0,0,0,0
1979,1533,2,0,0,0,0,0,0,0,0,2,0,6,3,19,31,55,109,143,169,252,267,217,257,,,0,0,0,0,0
1979,1540,1,0,0,0,0,0,0,0,0,0,0,5,8,5,13,31,61,80,112,121,108,88,65,,,0,0,0,0,0
1979,1540,2,0,0,0,0,0,0,0,0,1,2,0,4,10,12,32,60,74,98,77,106,99,94,,,0,0,0,0,0
1979,1541,1,1,0,0,0,0,0,0,0,8,4,12,40,55,100,200,377,505,688,672,595,482,450,,,0,0,0,1,0
1979,1541,2,0,0,0,0,0,0,0,1,4,6,9,18,29,78,127,250,316,415,473,513,493,593,,,0,0,0,0,0
1979,1551,1,0,0,0,0,0,0,0,0,0,2,1,1,7,10,16,26,28,47,34,19,5,6,,,1,0,0,0,0
1979,1551,2,0,0,0,0,0,0,0,0,1,2,1,5,3,3,9,18,18,30,33,27,17,9,,,0,0,0,0,0
1979,1552,1,0,0,0,0,0,3,1,1,5,3,8,9,14,38,99,131,202,258,257,199,151,107,,,0,0,0,0,0
1979,1552,2,1,0,0,1,0,0,0,0,1,8,4,8,15,36,43,102,141,180,193,189,179,207,,,0,0,0,0,1
1979,156,1,0,0,0,0,0,0,0,0,0,2,6,10,20,26,74,132,207,242,267,269,179,139,,,0,0,0,0,0
1979,156,2,0,0,0,0,0,1,0,1,2,3,3,14,16,35,108,198,250,363,473,519,393,358,,,0,0,0,0,0
1979,1560,1,0,0,0,0,0,0,0,0,0,0,3,4,5,5,25,48,94,83,113,115,75,59,,,0,0,0,0,0
1979,1560,2,0,0,0,0,0,0,0,0,0,0,1,6,11,20,70,121,167,230,294,338,257,219,,,0,0,0,0,0
1979,158,1,0,0,0,0,0,1,1,0,5,4,7,5,4,13,31,38,35,43,43,35,32,13,,,0,0,0,0,0
1979,158,2,2,0,0,0,0,1,0,0,3,3,7,5,8,9,22,22,25,39,56,51,33,21,,,0,0,0,0,2
1979,159,1,0,0,0,0,0,0,0,0,1,1,2,5,6,14,33,65,115,169,154,157,161,135,,,0,0,0,0,0
1979,159,2,0,0,0,0,0,0,0,0,1,0,3,5,11,13,31,70,96,157,157,231,224,275,,,0,0,0,0,0
1979,160,1,0,0,0,0,1,1,0,0,1,4,1,3,6,10,22,36,34,39,52,41,25,24,,,0,0,0,0,0
1979,160,2,0,0,0,1,0,0,0,0,1,3,1,5,2,6,13,17,19,20,24,25,27,28,,,0,0,0,0,0
1979,1600,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,2,3,5,4,1,2,2,,,0,0,0,0,0
1979,1600,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,2,1,1,5,,,0,0,0,0,0
