year,cause,gender,age,people
1999,"Remainder of malignant neoplasms",1,0 to 4,4
1999,"Remainder of malignant neoplasms",1,30 to 34,2
1999,"Remainder of malignant neoplasms",1,35 to 39,8
1999,"Remainder of malignant neoplasms",1,40 to 44,15
1999,"Remainder of malignant neoplasms",1,45 to 49,42
1999,"Remainder of malignant neoplasms",1,50 to 54,44
1999,"Remainder of malignant neoplasms",1,55 to 59,35
1999,"Remainder of malignant neoplasms",1,60 to 64,70
1999,"Remainder of malignant neoplasms",1,65 to 69,66
1999,"Remainder of malignant neoplasms",1,70 to 74,79
1999,"Remainder of malignant neoplasms",1,75 to 79,89
1999,"Remainder of malignant neoplasms",1,80 to 84,64
1999,"Remainder of malignant neoplasms",1,85 to 89,39
1999,"Remainder of malignant neoplasms",1,90 to 94,12
1999,"Remainder of malignant neoplasms",1,95+,1
1999,"Remainder of malignant neoplasms",2,0 to 4,5
1999,"Remainder of malignant neoplasms",2,35 to 39,2
1999,"Remainder of malignant neoplasms",2,40 to 44,10
1999,"Remainder of malignant neoplasms",2,45 to 49,26
1999,"Remainder of malignant neoplasms",2,50 to 54,33
1999,"Remainder of malignant neoplasms",2,55 to 59,21
1999,"Remainder of malignant neoplasms",2,60 to 64,25
1999,"Remainder of malignant neoplasms",2,65 to 69,47
1999,"Remainder of malignant neoplasms",2,70 to 74,71
1999,"Remainder of malignant neoplasms",2,75 to 79,75
1999,"Remainder of malignant neoplasms",2,80 to 84,62
1999,"Remainder of malignant neoplasms",2,85 to 89,53
1999,"Remainder of malignant neoplasms",2,90 to 94,20
1999,"Remainder of malignant neoplasms",2,95+,6
1999,"Remainder of malignant neoplasms",2,Unspecified,1
2000,"Remainder of malignant neoplasms",1,0 to 4,4
2000,"Remainder of malignant neoplasms",1,35 to 39,10
2000,"Remainder of malignant neoplasms",1,40 to 44,15
2000,"Remainder of malignant neoplasms",1,45 to 49,32
2000,"Remainder of malignant neoplasms",1,50 to 54,38
2000,"Remainder of malignant neoplasms",1,55 to 59,42
2000,"Remainder of malignant neoplasms",1,60 to 64,61
2000,"Remainder of malignant neoplasms",1,65 to 69,63
2000,"Remainder of malignant neoplasms",1,70 to 74,84
2000,"Remainder of malignant neoplasms",1,75 to 79,77
2000,"Remainder of malignant neoplasms",1,80 to 84,67
